qid,query,docno,text,biased_rank,debiased_rank,source,from,selected_in_turn,semantic_sim,label
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_17_253755796,"This is because something else, such as CO2 concentration, water availability or temperature could be limiting the rate. Often with high light intensity (strong light) comes higher temperatures. CO2 Concentration. As the concentration of carbon dioxide increases, so does the rate of photosynthesis.",2,3.0,top from biased,biased,2,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_01_685626555,At low and medium light intensity the rate of photosynthesis is directly proportional to the light intensity. As the carbon dioxide concentration increases so does the rate of photosynthesis. There is no photosynthesis at very low levels of carbon dioxide and at high levels the rate reaches a plateau.,3,2.0,top from biased,biased,3,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_44_581740341,"Water availability. Namely, the higher the light intensity, temperature, carbon dioxide and chlorophyll concentration, the faster the rate at which photosynthesis occurs. But there is an optimum rate. In the case of light intensity, photosynthesis rate is higher in red or blue light and very low in green light.",4,5.0,top from biased,biased,4,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_38_867366499,"At light intensities of five to eight units carbon dioxide concentration is limiting the rate of photosynthesis. If the light intensity is kept the same, and the carbon dioxide concentration is increased from 0.03 per cent to 0.10 per cent then the rate of photosynthesis increases. previous. 1.",5,4.0,top from debiased,debiased,5,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_30_795590421,"Increasing the light intensity will boost the speed of photosynthesis. Carbon dioxide concentration: Sometimes photosynthesis is limited by the concentration of carbon dioxide in the air. Even if there is plenty of light, a plant cannot photosynthesize if there is insufficient carbon dioxide.",6,6.0,top from debiased,debiased,6,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_31_866473184,"Carbon dioxide concentration - Increasing the carbon dioxide concentration increases the rate of photosynthesis because carbon dioxide is a reactant in photosynthesis. However, above a certain threshold, further increases in the carbon dioxide concentration do not increase the rate of photosynthesis because another factor (such as light intensity) is limiting the rate of reaction.",13,7.0,top from debiased,debiased,7,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_38_867365984,"At light intensities of 5.5 units and above, a carbon dioxide concentration of 0.1 per cent is limiting and the rate of photosynthesis does not increase even when light intensity is increased. Light intensity is not limiting the rate of photosynthesis at light intensities of five to eight units. As light intensity is increased the rate of photosynthesis remains the same.",7,8.0,top from debiased,debiased,8,,
168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,msmarco_passage_38_869415193,"Plants. Green plants absorb light in their leaves and convert it to energy by photosynthesis. Temperature, carbon dioxide concentration and light intensity can affect the rate of photosynthesis. Part of. Biology (Single Science) Nutrition, digestion and excretion.",58,,easy negative,debiased,9,0.6200540661811829,
190623,for what is david w taylor known,msmarco_passage_08_377498739,"Rear Adm. David W. Taylor. Rear Admiral David Watson Taylor, USN (March 4, 1864 - July 28, 1940) was a naval architect and engineer of the United States Navy. He served during World War I as Chief Constructor of the Navy, and Chief of the Bureau of Construction and Repair. Taylor is best known as the man who constructed the first experimental towing tank ever built in the United States.",1,1.0,top from biased,biased,1,,
190623,for what is david w taylor known,msmarco_passage_05_497938979,"Freebase (0.00 / 0 votes) Rate this definition: David W. Taylor. Rear Admiral David Watson Taylor, USN was a naval architect and engineer of the United States Navy. He served during World War I as Chief Constructor of the Navy, and Chief of the Bureau of Construction and Repair.",2,2.0,top from biased,biased,2,,
190623,for what is david w taylor known,msmarco_passage_18_550907066,"David S. Taylor, CEO of Procter and Gamble. David Taylor (Wisconsin judge) (1818–1891), American jurist and legislator. David W. Taylor (1864–1940), U.S. Navy admiral and engineer. David Taylor (banker) (1929–2009), banker. David Taylor (veterinarian) (1934–2013), television presenter on animal subjects.",3,5.0,top from biased,biased,3,,
190623,for what is david w taylor known,msmarco_passage_07_763160990,"World Champ David taylor the magic man. World Champ. David taylor the magic man. David Taylor, widely known as The Magic Man, is a 4x NCAA All-American, 4x BIG 10 Champion, and a 2x NCAA Champion -- and he’s just getting started. Having wrapped up his NCAA career in March of 2014, David is just getting started on his international career and ultimately, his quest for Gold in Tokyo, 2020.",4,20.0,top from biased,biased,4,,
190623,for what is david w taylor known,msmarco_passage_08_377498267,"The Model Basin retains his name as a living memorial to this distinguished naval architect and marine engineer. Taylor died in Washington, D.C. on July 28,1940. In addition to the Model Basin, the Navy has honored Taylor's legacy in several ways. In 1942, the destroyer David W. Taylor (DD-551) was named in his honor.",19,3.0,top from debiased,debiased,5,,
190623,for what is david w taylor known,msmarco_passage_18_550905367,"David Taylor (American football) (born 1949), American football player. David Taylor (football administrator) (1954–2014), General Secretary of UEFA. David Taylor (rugby league) (born 1988), Australian rugby league footballer. David Taylor (rugby union), played in 1966–67 Australia rugby union tour of Britain, Ireland and France.",8,4.0,top from debiased,debiased,6,,
190623,for what is david w taylor known,msmarco_passage_18_550908404,"David J. Taylor, American visual artist, awarded a 2008 Guggenheim Fellowship. David Taylor (actor) in The Adventures of the Black Stallion. David Taylor (musician), with James Taylor Quartet. David Taylor (writer), winner of the Keats-Shelley Prize for Poetry. D. J. Taylor (born 1960), British novelist and biographer.",6,6.0,top from debiased,debiased,7,,
190623,for what is david w taylor known,msmarco_passage_18_550904935,"Dave Taylor (New Zealand footballer) (20th century), New Zealand soccer player. Dave Taylor (Thames Ironworks F.C. founder) (19th century), football administrator. David Taylor (Canadian football) in 1986 CFL Draft. David Taylor (Nicaragua footballer) in 1997 UNCAF Nations Cup.",11,7.0,top from debiased,debiased,8,,
190623,for what is david w taylor known,msmarco_passage_35_234866879,The other children are introverted musician Jason (Jon Walmsley); rebellious Mary Ellen (Judy Norton-Taylor); pretty Erin (Mary Beth McDonough); schemer Ben (Eric Scott); slow-witted James Robert “Jim-Bob” (David W. Harper); and sensitive Elizabeth (Kami Cotler).,83,,easy negative,debiased,9,0.15213100016117095,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_65_219573228,"Newborns will be automatically enrolled in their mother’s plan at the time of birth. However, their mother may choose another plan for the baby after enrollment. Eligible Medicaid recipients will receive a letter with enrollment information, including information on how to enroll.",1,1.0,top from biased,biased,1,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_52_269196632,"When your baby is born, call us with the baby's name, gender, and date of birth. You have up to 60 days to submit the accompanying required documentation (i.e. SS card, Birth Certificate). You should enroll your baby as soon as possible after birth in order to avoid any claims issues.",2,2.0,top from biased,biased,2,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_10_719901294,"I live in nj and I have ins for me but baby is on Medicaid. I applied a month before my due date. on the application, it asks if you are pregnAnt. check that box, and then just fill in the information about yourself and then send in the application. once the baby is born, you need to provide the crib card from the hospital and that's all until you get the baby's ss card and what not. it took 2 weeks to get my Medicaid card in the mail.",3,4.0,top from biased,biased,3,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_64_363384407,Birth Registration and Certificate. It’s exciting to register for your baby’s first piece of ID. Some provinces require you to submit forms within 30 days after your child’s birth. (Alberta requires a birth registration form submitted within 10 days.),4,7.0,top from biased,biased,4,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_24_559073437,"Depending on income, the newborn may get Medicaid from birth to their 1st birthday. Most CHIP perinatal infants qualify for Medicaid. If the baby is eligible to get Medicaid, the mother will receive a letter and Form H3038-P, CHIP Perinatal - Emergency Medical Services Certification, in the mail before delivery.",5,3.0,top from debiased,debiased,5,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_25_95176272,"Breast pumps are covered by Medicaid and you can get a breast pump if you and your baby are eligible members of Medicaid. Note that your baby is automatically eligible for Medicaid from birth to their first year. After that, you can enroll your child into the Medicaid program at any time . Hence, here’s some helpful information you must know beforehand when requesting a breast pump to Medicaid.",7,5.0,top from debiased,debiased,6,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_59_779343147,A. Hospitals often do not report. We urge every new mother to call Healthy Connections at 1-888-549-0820 and report a baby’s birth within a few days of delivery. The baby is automatically covered by Medicaid for the first 60 days after birth and your Medicaid card will cover the baby during this period.,6,6.0,top from debiased,debiased,7,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_12_190331710,Good luck! U will remain on medicaid for 3 months after your babys birth. Once your medicaid is cancelled u can reapply for medicaid for yourself...it is a special medicaid program that covers women who have had a baby in the last 2 yrs and who were on medicaid while they were carrying there baby.,10,8.0,top from debiased,debiased,8,,
226975,how does my baby get submitted for medicaid after birth,msmarco_passage_17_97011100,Why do my guppies die after giving birth? Do guppies eat their own poop? How many guppies should I get? How long does it take baby guppies to get their color? Do guppies tails grow back? Do Guppy fry need air pump? Will guppies breed in a community tank? What do I feed my baby guppies?,86,,easy negative,debiased,9,0.25579735040664675,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_07_367182198,What Is the Oil Pollution Act of 1990. The U.S. Congress enacted the Oil Pollution Act of 1990 (OPA) to streamline and strengthen the Environmental Protection Agency's (EPA) power to prevent oil spills. It was passed as an amendment to the Clean Water Act of 1972 following the Exxon Valdez oil spill of 1989. The Oil Pollution Act of 1990 is one of the most wide-reaching and critical pieces of environmental legislation ever passed.,1,1.0,top from biased,biased,1,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_15_789050318,The Oil Pollution Act of 1990 (OPA 90) was passed in response to the Exxon Valdez oil spill in 1989. This law forms part of US oil spill governance to mitigate and prevent civil liability from oil spills. OPA 90 requires companies to develop and maintain plans to help prevent spills and detailed plans to contain and respond to spills that may occur.,2,2.0,top from biased,biased,2,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_07_367182777,Key Takeaways. The Oil Pollution Act of 1990 expanded the power of federal agencies to prevent and punish mass oil spills. It was passed by the U.S. Congress in response to the Exxon Valdez oil spill in 1989. The act was passed as an amendment to the Clean Water Act of 1972.,3,3.0,top from biased,biased,3,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_45_442422969,The Oil Pollution Act of 1990 amends existing provisions of the Clean Water Act and creates major new authorities addressing oil and hazardous substance spill response. The amended Clean Water Act required the President to revise the NCP to reflect these changes.,4,8.0,top from biased,biased,4,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_51_88229309,"Following the Exxon Valdez oil spill of 1989, Congress passed the Oil Pollution Act (OPA) of 1990, which strengthened the powers of the Environmental Protection Agency (EPA) to prevent future oil spills and to punish polluters.",12,4.0,top from debiased,debiased,5,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_65_555172153,"OPA Overview. The Oil Pollution Act of 1990 ( 33 U.S.C. 2701-2761) amended the Clean Water Act and addressed the wide range of problems associated with preventing, responding to, and paying for oil pollution incidents in navigable waters of the United States.",7,5.0,top from debiased,debiased,6,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_10_602776522,"The Oil Pollution Act of 1990 was enacted by the U.S.  Congress to strengthen oil spill prevention, planning, response, and  restoration efforts. Under its provisions, the Oil Spill Liability Trust  Fund provides cleanup funds for oil pollution incidents.",5,6.0,top from debiased,debiased,7,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_45_423986487,"The Oil Pollution Act. The Oil Spill Pollution Act - The Oil Pollution Act is an environmental regulation adopted in 1990 in the U.S. to prevent oil spill pollution. In 1990, the Oil Pollution Act was passed by U.S. Congress and amended the existing Clean Water Act, aiming to require oil storage facilities to prepare ""Facility Response Plans"".",13,7.0,top from debiased,debiased,8,,
237669,how is the oil pollution act of 1990 effect oil companies,msmarco_passage_59_581628942,"COFR. A COFR is a vessel Certificate of Financial Responsibility (Water Pollution) issued by the NPFC to a vessel applicant providing evidence of financial responsibility,  in accordance with the Oil Pollution Act of 1990 (OPA 90) and CERCLA. This evidence is in the form of a guaranty by some third party or the applicant himself  (in the case of self-insurance).",87,,easy negative,debiased,9,0.34026033878326417,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_58_107305431,"Answered 1 year ago · Author has 524 answers and 65.2K answer views. Originally Answered: How long does it take for a sprained wrist to heal? If you consult an Orthopaedic practitioner, or so, it would take 10 days to 30 days….",1,21.0,top from biased,biased,1,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_48_763440047,"Takeaway. In most cases, a sprained wrist can be treated with rest, ice, and over-the-counter pain relievers. A compression bandage can also help control swelling. Mild sprains heal in 2 weeks, while moderate sprains can take 6 to 8 weeks. Surgery is only needed if your sprain is severe or doesn’t heal.",2,1.0,top from biased,biased,2,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_66_685673120,"Recovery time depends on how serious your wrist sprain is. These injuries may take from two to 10 weeks to heal. But that's a rough estimate. Everyone heals at a different rate, but generally, time to heal depends on the grade of sprain and proper management.",3,4.0,top from biased,biased,3,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_48_836680363,how long does it take a wrist sprain to heal | Answers from Doctors | HealthTap.,4,30.0,top from biased,biased,4,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_28_326468821,"Your Care Instructions. Your wrist hurts because you have stretched or torn ligaments, which connect the bones in your wrist. Wrist sprains usually take from 2 to 10 weeks to heal, but some take longer. Usually, the more pain you have, the more severe your wrist sprain is and the longer it will take to heal.",5,2.0,top from debiased,debiased,5,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_39_711863628,"Recovery from a Hyperextended Wrist Sprain. Recovery time depends on how serious your wrist sprain is. A wrist sprain can take anywhere from 2 - 12 weeks to heal, depending on the severity or grade of the sprain. Grade 1 sprains typically take a few days to heal, and a Grade 2 sprain may take 2 to 4 weeks.",6,3.0,top from debiased,debiased,6,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_02_511537499,How Long Does It Take To Heal A Wrist Sprain. In Mild or Grade I Wrist Sprains show an improvement within 2-3 days. Moderate sprains can take more than a week to get healed. Severe sprains take number of weeks to even months to get cured completely.,8,5.0,top from debiased,debiased,7,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_61_344475322,"See What to Do When a Wrist Injury Occurs. The duration of symptoms usually depends on the type and severity of the wrist sprain. While some sprains usually heal in a few days, others may take weeks or months.",11,6.0,top from debiased,debiased,8,,
253263,how long does it take for a sprained wrist to heal,msmarco_passage_24_154530738,"More Articles. How to Heal a Sprained Wrist Quickly. How to Splint a Strained Thumb. Workouts for Tendonitis Leg Pain. Elbow Pain From Working Out. How to Tape a Wrist for Football. ×. What does fact checked mean? At Healthfully, we strive to deliver objective content that is accurate and up-to-date.",82,,easy negative,debiased,9,0.47756609320640564,
300025,how many whales are caught in fishing nets off california,msmarco_passage_23_307538604,"In 2016, there were a reported 71 cases of whales caught and trapped in abandoned fishing gear just off the U.S Pacific coast alone, according to Mercy for Animals. Fishing Net On Reef / Photo courtesy of Tim Sheerman-Chase / CC BY 2.0.",1,1.0,top from biased,biased,1,,
300025,how many whales are caught in fishing nets off california,msmarco_passage_10_457252165,"Blue whales typically swim farther from the shoreline, making entanglement rare, NOAA officials told CNN affiliate KABC. Rescuers have made at least six attempts to cut the lines pulling down the whale's tail. At one point, a team was able to get closer than 20 feet to the tail, but could not cut the lines. According to the NOAA and National Marine Fisheries Services data, 2016 is seeing a high number of whale entanglements -- at least 40 since January -- off California, which could top last year's record high of 65 caught in crab and lobster fishing gear.",2,2.0,top from biased,biased,2,,
300025,how many whales are caught in fishing nets off california,msmarco_passage_20_736374757,The pseudo-stalked barnacle Xenobalanus globicipitis was found on 9% of individuals caught off California; it was also found on a sei whale taken off South Africa. The acorn barnacle Coronula reginae and the stalked barnacle Conchoderma virgatum were each only found on 0.4% of whales caught off California.,3,25.0,top from biased,biased,3,,
300025,how many whales are caught in fishing nets off california,msmarco_passage_10_457250983,"Rescuers race to free blue whale tangled in fishing net. Rescuers have made at least six attempts on Monday to free a blue whale entangled in crab and lobster fishing gear off the Southern California coast. If they cannot free the creature soon, rescue teams say it will drown. Screen shot: Dolphin Safari/YouTube.",4,3.0,top from biased,biased,4,,
